name	genre
The Weeknd	canadian contemporary r&b
The Weeknd	canadian pop
The Weeknd	pop
Jóhann Jóhannsson	compositional ambient
Jóhann Jóhannsson	experimental classical
Jóhann Jóhannsson	icelandic classical
Jóhann Jóhannsson	icelandic experimental
Jóhann Jóhannsson	nordic soundtrack
Jóhann Jóhannsson	soundtrack
Majid Jordan	alternative r&b
Majid Jordan	canadian contemporary r&b
Majid Jordan	pop
Majid Jordan	r&b
Majid Jordan	trap soul
Pet Shop Boys	art pop
Pet Shop Boys	dance rock
Pet Shop Boys	europop
Pet Shop Boys	new romantic
Pet Shop Boys	new wave
Pet Shop Boys	new wave pop
Pet Shop Boys	permanent wave
Pet Shop Boys	synthpop
Harry Styles	pop
St. Lucia	alternative dance
St. Lucia	electropop
St. Lucia	indie poptimism
St. Lucia	indietronica
St. Lucia	metropopolis
St. Lucia	modern alternative rock
St. Lucia	modern rock
St. Lucia	neo-synthpop
St. Lucia	nyc pop
St. Lucia	shimmer pop
Tanerélle	alternative r&b
Tanerélle	indie electropop
Morcheeba	big beat
Morcheeba	downtempo
Morcheeba	electronica
Morcheeba	nu jazz
Morcheeba	trip hop
Khalid	pop
Khalid	pop r&b
Swedish House Mafia	edm
Swedish House Mafia	pop
Swedish House Mafia	pop dance
Swedish House Mafia	progressive electro house
Cafe Music BGM channel	NA
Kanye West	chicago rap
Kanye West	rap
Porter Robinson	complextro
Porter Robinson	edm
Porter Robinson	future bass
Porter Robinson	melodic dubstep
Porter Robinson	progressive electro house
Vancouver Sleep Clinic	indie folk
Vancouver Sleep Clinic	vapor pop
Flight Facilities	alternative dance
Flight Facilities	aussietronica
Flight Facilities	australian dance
Flight Facilities	indie soul
Flight Facilities	nu disco
Sally Shapiro	art pop
Sally Shapiro	balearic
Sally Shapiro	electropop
Sally Shapiro	gothenburg indie
Sally Shapiro	italian disco
Sally Shapiro	neo-synthpop
Sally Shapiro	swedish electropop
Sally Shapiro	swedish synthpop
JAY-Z	east coast hip hop
JAY-Z	hip hop
JAY-Z	rap
DJ DECKSTREAM	ambeat
Christopher Cross	adult standards
Christopher Cross	album rock
Christopher Cross	folk rock
Christopher Cross	mellow gold
Christopher Cross	new wave pop
Christopher Cross	quiet storm
Christopher Cross	soft rock
Christopher Cross	yacht rock
Madeon	complextro
Madeon	edm
Madeon	electro house
Madeon	electropop
Madeon	filter house
Madeon	nantes indie
Madeon	pop dance
The Rubens	australian indie
The Rubens	australian pop
Kylie Minogue	australian dance
Kylie Minogue	australian pop
Kylie Minogue	dance pop
Kylie Minogue	electropop
Kylie Minogue	eurodance
Kylie Minogue	europop
Kylie Minogue	new wave pop
Kylie Minogue	pop
Fabrizio Paterlini	compositional ambient
Hatchie	art pop
Hatchie	brisbane indie
Hatchie	electropop
Hatchie	indie pop
Neneh Cherry	new wave pop
Neneh Cherry	urban contemporary
Lime Cordiale	NA
Sting	permanent wave
Sting	soft rock
Sting	sophisti-pop
Fiji Blue	chill pop
Fiji Blue	chill r&b
Fiji Blue	pop
Parcels	aussietronica
Parcels	indie soul
Björk	art pop
Björk	electronica
Björk	experimental pop
Björk	experimental vocal
Björk	icelandic experimental
Björk	icelandic pop
Björk	icelandic singer-songwriter
Björk	metropopolis
Björk	permanent wave
Björk	trip hop
Confidence Man	alternative dance
Confidence Man	australian electropop
The Knocks	alternative dance
The Knocks	edm
The Knocks	indie poptimism
The Knocks	nu disco
The Knocks	tropical house
Peter Sandberg	compositional ambient
Peter Sandberg	focus
Peter Sandberg	neo-classical
Empire of the Sun	alternative dance
Empire of the Sun	australian dance
Empire of the Sun	australian electropop
Empire of the Sun	dance rock
Empire of the Sun	electropop
Empire of the Sun	indietronica
Empire of the Sun	neo-synthpop
Empire of the Sun	new rave
Machinedrum	footwork
Machinedrum	glitch
