spotify_track_id	track_name	artist_name	popularity	acousticness	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	valence
5JN0dpZxu1EPljO8AyfcoV	Waves of Blue	Majid Jordan	56	0.00743	0.652	208747.0	0.861	2.25e-05	6.0	0.337	-4.863	0.0	0.0565	99.983	0.333
6krYS8KtmNAYyb5uTZiYW4	Dawn FM	The Weeknd	66	0.674	0.28	96240.0	0.478	5.85e-05	9.0	0.483	-8.755	0.0	0.037	111.65	0.0807
1nH2PkJL1XoUq8oE6tBZoU	Sacrifice	The Weeknd	82	0.0296	0.735	188918.0	0.795	3.18e-05	11.0	0.0678	-6.523	0.0	0.113	122.0	0.905
2Ghp894n1laIf2w98VeAOJ	How Do I Make You Love Me?	The Weeknd	73	0.0203	0.805	214215.0	0.498	2.37e-05	7.0	0.085	-7.927	0.0	0.0737	121.006	0.636
69w5X6uTrOaWM32IetSzvO	Daydreaming	Harry Styles	88	0.311	0.707	187342.0	0.811	0.0152	4.0	0.131	-5.298	0.0	0.0304	113.971	0.899
3D74AslVbd3wUNTn5Lu89p	Summer of Our Lives	waykap	41	0.0588	0.659	183872.0	0.592	0.0	11.0	0.145	-8.908	0.0	0.0387	110.014	0.284
1NhjYYcYTRywc0di98xHxf	Here We Go… Again (feat. Tyler, the Creator)	The Weeknd	73	0.345	0.469	209778.0	0.623	0.0	1.0	0.588	-4.432	1.0	0.0302	134.943	0.198
0JbTQZMakJrh7EqKSL3nqf	Dreaming Out Loud	Middle And End	38	0.00152	0.735	192547.0	0.761	7.8e-06	0.0	0.0477	-5.344	1.0	0.0271	114.988	0.873
4dCvpuSQ5h3985ePrb8jpy	Another Lifetime	St. Lucia	32	0.123	0.56	277107.0	0.719	0.00121	7.0	0.107	-6.319	1.0	0.0282	106.001	0.42
4quLpz1QLRBf6OfC0zNoSu	What I Want (feat. BROODS)	Flight Facilities	43	0.448	0.516	210314.0	0.203	0.000252	4.0	0.139	-11.015	1.0	0.172	93.17	0.634
